1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
797425,921,398,216,2196,347,875,661,1669,1661,285,348,305,335,197,231,214,444,258,302,148,153,123,469,122,805,107,109,312,113,143,524,109,291,391,479,101,481,106,703,177,111,496,106,209,8061,259,115,126,77,479,159,95,110,283,110,138,87,126,108,135,115,114,194,103,100,93,118,118,141,105,143,109,92,97,516,138,74,63,1320,85,93,121,79,91,102,78,115,172,74,89,97,88,84,100,120,100,96,1492,99,121,167,139,287,112,645,86,221,72,62,79,98,76,235,1345,147,68,1146,77,92,63,98,72,102,72,1203,301,171,108,94,69,64,80,88,73,105,96,55,59,100,992,55,69,83,129,3823,106,109,869,67,95,58,84,88,700,71,55,452,50,49,49,44,38,43,33,65,51,962,52,186,83,130,81,191,66,90,208,94,76,517,103,183,54,74,44,59,45,51,41,724,39,56,35,40,45,46,24,68,243,281,40,61,57,33,60,45,47,53,427,56,45,48,159,23,46,199,30,246,21,249,37,152,53,45,34,544,27,82,29,36,52,90,41,562,52,61,57,56,40,40,393,43,65,26,47,17,23,131,197,30,89,78,84,82,54,12442
581,4195,82,492,322,17,21,19,20,18,28,48,191,54,1210,920,25,24,362,5,5,83,121,6,12,4,32,13,37,18,41,10,16,13,11,23,12,34,15,1,7,1,2,3,1,540,2,85,16,8,4,2,1,18,2,17,19,1,18,1,21,17,9,2,0,13,3,3,4,2,1,12,1,0,5,6,0,0,2,1,6,1,21,4,1,0,0,1,5,0,12,1,2,4,1,8,12,1,3,4,226,19,3,6,1,1,2,2,1,6,1,4,15,1,6,2,2,8,2,43,1,20,0,1,2,748,13,3,15,37,0,2,2,16,9,39,12,0,0,20,3,2,31,21,34,73,7,9,3,0,13,1,4,0,5,6,0,4,0,0,1,5,0,0,1,2,1,1,1,8,0,4,0,4,1,13,6,1,0,18,2,5,4,30,0,0,1,19,11,1,0,3,0,0,0,2,0,5,8,0,0,0,0,1,8,0,18,10,0,12,0,0,5,0,0,4,1,7,1,0,0,2,9,1,0,0,0,1,2,22,5,1,5,2,9,2,30,6,2,1,1,3,12,0,2,1,1,2,1,0,2,0,3,0,23,104
1306,96,7245,63,124,57,25,47,330,31,30,14,27,330,18,9,141,31,11,46,20,26,10,38,2,14,5,10,15,10,50,13,9,11,12,35,4,12,4,1,2,4,0,8,21,7,2,2,5,2,20,0,2,4,4,4,4,0,2,2,3,1,0,2,18,2,0,2,66,2,2,1,2,0,6,1,2,2,3,2,1,9,3,3,1,2,0,4,46,0,2,3,1,25,2,3,3,11,1,1,2,2,1,3,3,1,15,1,1,0,0,0,1,8,0,1,0,1,16,2,2,0,0,0,2,1,2,0,1,0,0,0,1,1,1,0,1,3,4,2,2,21,2,0,12,879,7,2,10,0,1,1,0,1,4,1,18,3,18,1,13,0,2,5,0,29,0,0,22,0,0,1,0,1,0,0,0,1,23,0,15,1,828,0,17,5,1,2,1,0,0,4,15,1,0,0,0,0,1,17,0,3,1,0,0,21,1,0,13,1,0,12,0,100,0,5,1,0,0,10,20,1,0,17,0,1,0,18,2,12,12,9,0,2,0,9,0,2,0,10,6,4,0,0,19,0,0,0,2,7,1,1,4,3,1,84
225,79,104,2047,47,169,707,48,2517,27,38,13,82,113,6,8,14,15,49,262,5,16,6,63,0,4,4,3,20,12,15,4,8,81,286,13,6,7,1,1,0,0,1,0,0,17,2,0,2,0,3,0,10,0,2,1,2,1,2,1,4,0,4,2,2,1,0,1,2,2,0,1,1,1,2,1,0,1,2,3,1,4,24,11,0,2,0,2,6,1,3,0,8,4,2,0,2,2,1,2,10,2,0,3,0,1,0,1,4,3,0,1,1,2,0,0,3,1,0,0,3,1,1,0,0,0,2,3,4,0,0,49,1,2,3,1,1,0,1,3,0,3,1,4,0,4,0,1,3,4,3,0,1,1,4,1,2,1,1,0,0,0,2,0,1,1,2,0,0,0,0,0,2,2,0,1,0,2,0,1,1,0,14,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,2,0,0,0,1,0,0,3,0,0,2,1,0,14,0,0,0,0,1,1,1,1,22,38,0,0,0,1,0,1,0,1,0,1,1,1,80
1012,40,207,52,41504,76,789,68,3375,88,355,24,46,32,14,169,21,29,84,77,14,423,11,45,19,14,4,289,28,17,16,181,16,106,27,28,8,31,5,2,88,9,141,2,4,3461,2,12,4,5,44,5,4,7,2,4,3,2,2,3,4,4,1,3,2,4,0,3,1,2,2,9,1,3,0,435,3,3,1,11,2,1,3,1,0,0,1,1,1,2,4,0,1,0,3,3,4,0,2213,1,16,2,2,2,3,1,2,191,2,2,0,0,1,167,227,0,1,90,1,2,0,2,1,0,1,11,5,0,6,10,1,0,2,5,2,2,2,0,2,2,1,0,2,2,4,3166,3,3,6,3,4,0,2,0,6,1,2,5,0,1,0,3,1,0,2,2,0,2,1,785,0,1,1,3,0,2,79,0,0,1,2,71,3,5,0,0,1,0,2,0,0,0,0,1,2,1,144,0,93,0,1,0,0,0,2,0,5,0,0,29,14,0,58,3,1,74,0,2,2,0,0,735,2,0,18,1,0,1,0,7,1,0,0,76,1,184,5,1,0,0,5,1,1,2,14,0,2,0,41,2,12,33,5,2,2,46
377,11,63,158,134,5929,79,237,534,37,42,12,61,49,9,13,11,25,12,394,7,11,10,37,9,5,9,17,5,5,21,1,4,7,18,26,3,20,5,2,3,5,6,2,3,3,2,7,2,3,7,0,5,1,7,2,6,0,1,0,4,2,0,2,2,2,0,5,3,4,0,1,1,2,0,2,3,0,2,3,2,5,3,3,1,0,2,3,0,47,3,1,1,1,0,2,1,2,2,0,20,4,4,3,1,0,3,1,0,0,2,1,1,1,1,1,2,0,2,2,7,2,0,2,2,2,5,3,6,0,0,3,1,2,3,2,3,20,2,3,1,3,0,1,11,12,1,4,1,1,0,1,7,0,4,1,1,2,1,2,2,2,2,1,2,1,1,3,1,2,2,2,2,2,0,0,0,1,1,0,0,1,13,1,0,0,0,2,0,2,0,1,11,1,0,0,0,1,0,2,1,1,1,1,3,0,2,0,0,0,0,1,0,1,0,1,1,0,0,21,7,0,0,0,0,18,2,0,1,0,0,0,0,6,1,0,4,0,0,0,1,0,21,1,0,1,8,0,0,2,1,1,0,0,0,98
414,22,30,296,304,63,4722,39,420,27,416,77,83,546,3,21,6,17,33,66,7,612,5,56,7,4,6,56,29,28,27,11,14,12,22,22,2,54,4,6,11,6,2,2,0,334,5,63,21,7,1,3,0,20,11,16,21,2,12,1,18,10,11,9,1,5,2,0,4,0,3,13,0,1,1,9,3,0,2,3,2,5,6,3,0,2,4,0,1,0,17,1,1,1,1,10,13,0,4,0,187,14,6,7,1,2,2,0,4,4,0,2,0,0,12,2,3,15,0,11,4,14,1,2,0,1040,10,2,48,23,2,0,10,15,8,16,21,2,0,18,8,1,12,12,18,169,10,3,1,5,33,2,9,1,5,10,0,13,0,2,0,5,1,0,1,1,0,2,0,16,0,2,0,5,2,15,14,2,1,11,1,22,2,13,0,0,0,12,9,2,0,7,0,2,2,6,1,0,8,1,1,1,0,1,17,1,14,15,1,25,0,0,14,1,1,12,0,11,0,21,0,1,19,0,0,0,0,1,1,15,2,0,2,1,6,0,21,7,0,2,0,2,15,1,0,0,2,9,1,1,1,0,7,0,13,73
329,9,351,37,48,88,40,57782,198,58,556,115,57,80,11,45,15,111,9,178,13,14,5,34,14,7,12,37,21,7,12,4,13,5,10,17,11,3,5,5,2,2,10,9,1,3,1,4,2,2,24,1,3,78,3,5,15,1,1,1,5,4,3,5,5,3,3,3,2,1,2,2,1,2,1,2,0,3,1,1,5,1,1,1,2,2,0,2,4,1,1,1,1,4,0,0,0,3,1,3,14,0,4,3,0,5,1,2,1,2,2,2,0,0,0,1,1,34,0,4,2,1,1,33,6,4,3,13,0,2,1,1,0,2,5,0,1,0,3,1,0,4,1,0,4,12,2,6,2,3,3,1,1,0,5,1,0,0,11,0,1,3,0,0,3,3,2,1,1,2,0,0,3,1,0,2,0,0,0,0,1,0,8,0,3,0,1,1,0,1,0,0,1,1,21,1,0,0,0,2,0,0,1,1,0,0,1,0,3,0,0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,5,0,1,1,10,0,0,1,0,0,3,0,0,0,0,1,1,2,8,0,1,0,0,0,1,1,0,10,2,1,466
2119,29,225,2962,3459,634,490,213,172690,153,291,60,991,374,44,80,53,225,145,880,34,35,42,300,29,20,39,360,85,54,67,3162,59,263,106,104,11,22,39,2,103,6,93,6,8,1522,2,0,7,4,928,6,2,5,4,3,1,1,3,2,2,4,7,2,3,14,1,2,3,0,1,3,2,1,4,123,5,5,8,2127,9,6,0,3,4,5,1,1,3,3,1,2,4,1,1,2,1,4,5978,2,21,6,12,5,5,2,8,69,4,6,1,3,0,18352,351,3,3,128,2,0,2,0,3,1,1,2,21,1,2,0,2,0,9,2,4,1,1,2,0,0,12,0,0,1,0,22447,3,2,8,1,445,3,4,1,6,2,2,3,1,1,1,1,1,4,0,2,1,1,5,73,3,6,0,9,1,0,93,3,1,0,4,92,1,0,3,2,0,1,4,2,0,0,4,0,1,0,3097,1,108,1,0,2,1,0,2,0,1,0,0,1,1,2,85,1,2,64,1,12,0,0,1,45,0,0,0,0,2,0,3,0,0,0,0,3699,4,4,0,2,1,2,0,3,1,7,2,4,0,0,2307,6,97,8,19,3,0,100
