1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
816657,466,664,195,1969,309,853,621,1624,1646,249,310,225,297,147,227,156,426,260,322,156,169,145,463,109,765,103,89,313,121,133,479,70,291,395,489,79,423,78,666,166,125,472,93,205,8043,226,100,112,53,83,2922,70,89,85,100,104,69,105,86,99,80,91,91,53,63,63,61,68,69,60,101,73,86,76,268,139,83,133,1314,90,75,111,96,96,132,98,108,192,92,105,87,92,90,93,110,77,71,569,64,81,64,72,177,69,635,65,208,73,111,89,76,61,212,1327,176,60,1126,54,67,98,59,58,61,44,1162,312,300,67,76,41,40,55,85,66,86,87,67,59,87,980,53,49,70,108,3807,73,93,49,848,64,38,55,48,481,55,47,462,50,58,48,68,525,52,60,83,72,972,55,182,96,140,74,65,62,150,268,83,74,539,64,210,79,111,58,72,55,81,58,737,50,81,47,58,47,53,46,47,2466,294,46,62,80,63,2793,68,63,70,438,57,56,44,189,55,164,245,89,430,588,264,48,176,58,62,34,554,31,47,36,61,63,93,43,555,52,87,64,69,51,49,412,86,85,98,107,63,76,180,230,49,72,85,145,403,182,11647
454,3509,14,126,396,21,21,9,22,17,24,40,187,54,1207,922,21,19,357,2,3,80,119,3,12,2,26,10,35,13,24,8,16,3,5,7,3,30,16,2,10,1,0,3,0,540,0,85,17,10,4,1,1,18,0,18,21,4,16,3,22,16,9,3,0,12,2,2,4,3,1,13,0,1,5,5,3,0,1,2,1,2,21,2,0,1,0,0,6,1,11,0,0,4,1,8,9,1,0,6,226,20,2,5,2,1,3,2,0,6,0,2,12,0,6,1,0,9,0,42,1,20,0,1,0,745,9,4,15,37,0,1,1,16,10,45,11,0,2,21,3,1,32,18,33,71,7,8,0,1,11,0,3,0,0,14,0,6,0,1,2,4,2,2,0,0,0,1,1,10,0,2,2,1,1,12,7,0,0,18,1,5,3,30,1,0,0,19,11,0,0,4,1,1,1,2,0,5,7,1,0,1,0,2,6,0,18,10,1,11,0,0,4,0,1,5,1,9,1,0,0,2,8,0,0,0,1,1,0,23,6,0,6,2,5,4,30,6,1,1,1,2,12,2,3,0,3,3,1,1,1,0,4,0,24,63
1243,60,3880,49,17,109,27,26,450,62,18,3,16,329,11,5,137,28,2,41,19,23,8,35,1,2,3,10,8,3,39,4,5,4,5,40,1,4,2,2,1,1,0,4,21,9,1,1,4,4,24,3,2,4,0,2,3,0,1,5,0,1,2,1,20,1,0,2,67,1,2,1,2,2,6,1,2,1,3,1,1,9,1,1,2,0,0,2,1,0,0,4,1,27,2,2,3,10,0,1,2,0,2,5,1,0,16,2,2,1,0,0,1,9,1,2,0,0,16,0,2,3,0,1,1,0,1,2,0,0,0,0,1,0,1,0,1,2,1,0,2,22,0,0,13,880,5,1,10,0,1,2,0,3,0,0,17,2,17,1,13,1,1,4,1,29,0,0,22,0,0,0,0,0,0,0,0,1,23,1,16,2,828,0,17,4,0,1,3,0,2,4,15,1,0,1,0,0,1,17,2,3,1,1,1,22,2,0,13,1,1,13,0,101,3,6,1,5,1,11,21,1,0,17,0,1,0,18,2,11,13,11,4,2,0,7,0,1,2,10,10,2,0,1,19,2,4,3,1,7,4,4,1,1,0,66
206,122,84,1955,46,158,304,27,2519,72,30,9,77,120,1,6,6,14,44,260,7,10,3,59,3,0,0,3,19,3,10,2,2,79,284,6,1,2,1,1,1,2,1,3,1,16,0,3,1,1,4,1,11,1,3,0,1,0,1,1,1,0,5,2,2,1,1,1,4,2,1,0,2,0,2,1,1,0,1,2,2,2,22,9,0,1,0,2,5,0,1,1,6,4,0,0,4,0,1,1,13,2,0,5,0,1,0,1,0,1,0,1,1,2,0,0,2,0,2,1,4,1,0,0,0,4,2,2,7,0,0,49,1,1,3,0,0,2,0,1,0,4,0,3,1,3,1,2,2,3,0,0,0,1,1,14,1,0,0,0,1,0,1,3,1,1,2,0,0,2,0,1,0,4,1,2,1,2,0,0,2,2,14,2,0,2,1,1,1,0,0,2,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,1,1,0,3,1,1,1,2,1,0,6,1,3,0,0,0,1,0,0,2,1,0,2,1,2,13,2,0,0,0,1,3,4,1,22,39,1,1,2,6,1,0,2,0,0,0,2,0,56
852,15,70,26,6653,26,784,36,350,128,345,11,29,32,5,164,12,28,76,65,0,416,4,43,5,5,3,283,17,7,9,172,5,104,22,23,3,16,1,2,87,8,143,2,6,3456,1,7,2,7,7,6,5,4,2,2,2,2,1,2,4,2,1,1,1,2,3,2,0,4,0,4,2,2,3,327,0,0,0,11,4,1,2,0,2,1,0,2,1,2,10,2,0,0,2,2,1,1,164,1,18,2,3,1,2,3,3,193,1,1,0,1,1,167,227,0,1,91,1,0,1,2,0,0,2,11,5,0,5,10,1,2,0,5,3,5,1,2,2,3,5,0,2,4,5,3166,3,3,2,2,4,6,1,0,2,3,1,4,1,2,1,1,0,0,0,1,0,2,1,785,0,0,1,1,3,1,81,1,0,3,2,71,2,5,1,1,3,1,2,0,0,0,2,1,1,1,2,0,94,0,1,0,1,1,5,0,6,0,0,29,15,0,58,2,1,76,1,4,2,1,1,735,2,0,20,1,0,0,0,7,3,0,2,77,2,184,4,1,0,0,4,2,2,5,19,0,13,4,42,2,0,2,3,3,2,44
318,7,43,105,61,5829,71,201,511,77,69,8,50,50,3,6,8,24,9,388,4,10,4,33,2,2,4,15,5,4,6,1,4,9,18,12,1,13,8,0,1,3,5,1,2,2,2,5,2,1,8,2,7,0,0,2,5,1,0,0,1,3,3,1,2,1,1,3,4,0,2,1,0,2,0,1,2,0,0,0,0,2,2,1,0,2,1,2,0,2,1,2,0,0,3,0,2,1,0,0,21,2,4,2,3,1,1,3,1,0,1,1,0,2,2,2,0,1,1,0,6,2,2,4,0,4,4,1,7,1,0,4,1,2,7,3,2,21,0,2,1,3,4,1,8,13,1,3,3,1,0,2,4,0,1,1,2,1,0,1,1,1,3,2,2,0,2,0,2,1,2,1,2,2,0,0,0,1,0,0,1,0,13,2,0,1,0,2,3,2,0,1,12,2,0,1,0,1,0,2,2,1,1,0,2,1,3,2,1,0,1,1,0,1,1,0,2,2,1,21,8,0,0,0,0,18,4,0,2,0,0,1,1,6,1,1,5,1,0,0,0,0,25,2,5,0,11,6,0,2,1,3,0,2,0,118
359,13,18,383,263,29,4713,29,421,27,66,29,89,546,5,17,6,16,39,68,6,606,3,53,6,4,4,58,21,26,18,9,12,7,14,12,3,52,3,5,10,8,0,0,1,333,10,67,21,3,2,2,0,20,5,18,21,1,13,1,17,10,10,9,1,5,1,0,5,1,1,14,1,2,0,10,3,2,3,0,3,5,7,1,0,2,4,0,1,4,13,3,2,2,0,6,13,3,1,1,188,15,5,7,2,1,3,0,1,3,0,1,0,0,12,0,1,15,3,12,2,16,3,2,2,1041,8,0,46,22,0,3,11,16,7,16,18,2,0,19,9,0,14,13,19,170,13,3,0,4,31,4,10,1,0,7,1,14,1,3,2,5,2,0,0,0,1,3,0,18,0,2,3,4,2,17,16,1,1,13,0,20,1,13,0,0,1,12,10,3,1,9,2,0,2,5,2,0,8,1,2,0,1,2,17,2,14,15,0,24,0,0,12,0,1,13,0,10,2,23,1,1,20,0,1,0,1,1,1,16,3,1,0,2,7,0,21,10,0,2,1,2,18,2,3,2,9,12,2,1,0,0,6,0,11,77
300,7,339,27,29,68,20,57596,173,58,548,101,22,82,10,14,7,114,3,181,4,10,4,28,12,5,5,34,6,5,5,3,1,6,5,10,10,2,3,0,5,3,10,8,1,2,0,3,0,1,24,1,3,79,2,8,13,3,2,1,5,4,2,3,4,2,0,2,1,0,2,1,1,2,2,2,2,1,2,1,5,1,1,3,4,3,1,0,0,3,0,3,0,2,2,1,4,0,2,3,17,4,3,2,1,2,4,3,1,4,2,2,0,0,1,1,0,36,0,2,4,5,2,34,3,2,3,12,13,3,0,0,0,2,1,1,0,1,1,0,0,5,3,1,4,9,2,4,1,5,2,0,3,3,0,1,0,1,7,2,0,2,1,0,2,2,1,1,2,3,0,0,4,1,2,0,2,0,0,1,1,1,9,0,3,0,2,1,0,1,0,0,0,0,21,0,0,1,0,3,1,2,2,1,2,0,2,3,4,0,0,5,1,0,1,0,1,6,1,1,0,1,1,0,2,5,1,1,2,10,0,1,1,0,2,3,1,0,0,0,1,1,2,9,2,3,1,5,1,0,1,0,9,0,2,499
2073,29,207,2955,429,522,449,198,84210,109,215,25,362,374,24,51,19,190,125,962,7,15,23,273,5,3,11,305,40,25,28,3142,20,130,52,22,8,10,34,6,104,1,93,3,4,1522,1,1,4,4,3,4,0,5,2,5,1,0,2,0,2,3,7,3,1,13,2,0,3,3,3,2,2,3,1,89,2,1,7,2129,5,7,2,3,0,5,3,3,4,2,4,2,3,1,1,1,1,4,3695,0,18,4,10,7,5,5,4,71,3,4,0,1,1,18353,352,3,3,126,1,2,1,1,2,1,6,3,1,2,5,2,0,1,8,2,4,1,1,3,1,1,13,3,3,3,3,22445,3,0,1,1,2,0,1,0,1,4,1,2,2,1,3,3,3,3,1,4,2,1,4,72,3,6,2,1,1,0,93,4,2,1,5,92,1,2,4,1,1,2,2,3,2,0,1,0,1,0,0,1,108,1,1,2,0,2,5,0,1,0,0,0,2,2,87,1,4,64,1,15,0,1,1,46,0,0,0,1,3,0,3,1,3,0,2,3699,5,4,0,2,2,3,0,2,3,8,3,3,1,1,2305,5,5,1,0,4,2,84
